text,system_response,emotion
오늘 갔던 치과에서 의사가 멀쩡한 이를 뽑으려고 했었어. 너무 화가 나.,의사가 멀쩡한 이까지 뽑으려 했었다니 화가 났겠어요.,분노
왜 나는 이렇게 아파서 혼자 갇혀있듯 살아야 할까? 너무 억울해.,병 때문에 홀로 방 안에 계시는 게 억울하시군요. 사람들을 만날 방법이 없을까요?,슬픔
몇 년 전 남편은 극단적인 선택으로 먼저 가고 난 잘못한 게 없다고 애쓰지만. 너무 괴로워.,그러셨군요. 괴로우시겠어요.,분노
난 헤어질 때마다 너무 힘들었어. 처음에는 불같이 사랑해놓고 마음이 변했다나.,마음이 변했다면서 헤어진 기억 때문에 많이 힘드셨군요.,슬픔
그 동영상 만드는 데 고생했거든. 만든 보람이 있었어.,고생한 결과가 보답 받았다니 잘됐네요.,기쁨
응. 혼자 있는 게 익숙하지 않아서 어젠 밤에 잠도 못 자겠더라고.,어떻게 하면 잠을 잘 잘 수 있을까요?,기쁨
내가 건강이 썩 좋지가 않지만 그래도 빌빌거리는 건 아닌데 말이야.,누가 뭐라고 하던가요?,분노
엄마가 성적이 떨어져서 삭발시키신대. 너무 슬퍼.,성적이 떨어져 강제로 삭발을 하신다니 슬프시겠어요.,슬픔
아들이 몸에 좋은 보약을 지어주었어.,아들에게 선물을 받아서 기쁘시겠어요.,기쁨
내 꿈을 무시하는 친구와 갈등이 생겨 슬프지만 한편으로는 꿈이 없는 친구가 안타까워.,꿈이 없는 친구가 안타까우시군요.,슬픔
긴장된다. 긴장돼.,긴장이 되고 걱정이 되시는군요. 무슨 일 이신가요?,분노
몰랐던 남편의 모습을 아는 게 힘들어.,어떻게 하면 힘듦을 극복할 수 있을까요?,슬픔
맞아 기분이 너무 좋았어. 팀원들이 나를 보는 눈빛을 보니 얼마나 기쁘고 흥분되던지.,팀원들의 표정을 보니 얼마나 기쁜지 알 수 있을 것 같아요. 앞으로도 깔보지 않게 하려면 어떻게 해야 할까요?,기쁨
새로 산 지 얼마 안 된 고가의 지갑이라 많이 속상했었는데.,어떻게 찾으신거예요?,기쁨
남편 목을 비틀고 싶을 만큼 너무 화나.,남편분에게 많이 화가 나시는군요. 부분에 대해 논의할 수 있는 사람이 있을까요?,분노
접촉사고를 당했는데 다쳤는지 확인도 안하고 본인 차 얘기만 하는 사람 때문에 화가 나.,다쳤느냐고 물어보지도 않고 차 얘기만 해서 화가 나셨겠어요.,분노
형님이 돌아가신 지 일 년이 넘었는데도 자꾸 형님 생각이 나네.,형님과 많이 가까우셨었나 봐요.,슬픔
일차적으로 취업을 목표로 잡아두고 작은 것부터 하나하나 성취해 나가볼까 해.,작은 것 부터 차근차근 이루어나가며 의욕적인 삶이 되었으면 좋겠어요.,슬픔
적당한 워라밸에 작지만 강한 기업에 가고 싶어.,작지만 강한 회사를 가고 싶으시군요.,분노
다이나믹듀오야. 상상해왔던 게 현실이 되어서 너무 흥분돼.,정말 기쁘시겠어요! 그 기쁨을 누릴 때 무엇을 하면 좋을까요?,기쁨
이번 식약처의 발표를 보고 실망했네.,어떤 발표 내용이었나요?,슬픔
아니. 엄마나 선생님한테 말했다가 괜히 그 친구들도 알게 되서 더 힘들어질까 봐 무서워서 이야기를 못했어.,친구들에 대한 두려움 때문에 더 말씀을 못하시고 계시는군요.,분노
걔가 사과할 때까지 절대 연락하지 않을 거야.,기다리는 연락이 빨리 왔으면 좋겠네요.,분노
처음에는 두려웠지만 지금보다 내 자신이 발전할 수 있다고 생각하며 고민하니 더 설레는 것 같아.,도전 자체가 설레는 것이 맞다고 생각해요. 어떤 직업을 선택하는 것에 대한 좋은 방법이 있을까요?,기쁨
갑자기 온 상황에서 나 또한 슬프지만 남편 또한 힘들었겠지.,감당하기가 아주 힘드셨나요?,슬픔
처음 보는 동생을 안아보고 싶지만 마음처럼 되지 않아 화가 나서 계속 떼를 썼어.,마음처럼 되지 않아 화가 나셨군요.,분노
옆집 김 씨가 자기 집에 화분을 잔뜩 가져다 놨는데 너무 화가 나.,옆집 김 씨가 자기 집에 화분을 잔뜩 가져다 놨는데 너무 화가 나는군요. 어떤 일인지 자세히 말씀해주시겠어요?,분노
너무 아쉽게 틀린 문제가 많았어. 이 성적으로는 좋은 대학 가기 어려울 것 같아.,지금의 성적 고민에서 벗어나기 위해서는 어떤 방법이 좋을까요?,슬픔
그냥 말하면 할수록 역겨워질 것 같아.,원만한 합의가 되길 바라요.,분노
내일도 옆집 정원이 할머니랑 놀러 가기로 했어.,내일 옆집 할머니랑 놀러 가기로 하셨군요.,기쁨
열심히 벌고 모아서 이제는 나의 노후에 대해서 준비가 된 상태라고 믿고 있어.,경제적으로 자신이 있으시군요.,기쁨
나는 집에서 쉬고 싶은데 계속 같이 외출하자고 하니까 귀찮고 성가셔.,그럴 수 있겠네요. 앞으로 어떻게 하실 계획이세요?,분노
새로 합류한 직원이 있는데 가면 갈수록 마음에 안 드네.,그 직원은 어떤가요?,분노
아빠가 너무 답답해서 아빠한테 아빠란 사람이 왜 그러냐고 소리를 질렀어.,아버님에게 모진 말을 해서 마음이 편하진 않겠어요.,분노
동료에게 말 걸고 싶지만 잘 못 하는 성격이라 이런 내 성격에 또 좌절했어.,처음에는 다들 제안하기 힘들 거예요.,분노
내 개인 이야기부터 가족 이야기 살아가는 생활 이야기 등등 많은 얘기를 하고 싶어.,여러 가지 신변 이야기를 하고 싶으신 거군요.,분노
남편도 먼저 떠났고 살림은 며느리가 맡기로 했고 난 이제 아무짝에도 쓸모가 없는 것 같아.,자식들 결혼도 다 시키고 했으니 아이들 잘 키운 보람으로 생각하시면 어떨까요?,분노
뭐 별 뾰족한 수가 없으니 말이지. 요즘 생각하기만 하면 화도 나고 나 혼자서만 밤잠을 설쳐.,밤잠을 설치니 많이 예민하고 피곤하시겠군요.,분노
내 생활 습관에 문제가 있는지 생각해 봐야겠어. 이제부터라도 미래에 대해 고민해야지.,더는 미래에 대하여 걱정할 일이 없었으면 좋겠네요.,슬픔
드디어 출산이 얼마 남지 않았어. 아이를 만날 생각에 너무 기뻐.,출산을 앞두고 기쁜 마음이 드시는군요.,기쁨
아내가 바람을 피우고 있는 거 같아서 몰래 뒤를 쫓아가 봤어.,그러셨군요. 좀 더 말씀해 보시겠어요?,분노
딸에게 짐만 되고 한심한 엄마인데 살아서 뭐 하나 싶어.,지금의 감정을 털어놓을 수 있는 사람이 주위에 있었으면 좋겠어요.,분노
쉬고 싶은 마음도 있긴 하지만 내년에 대학에 들어가는 막내 입학금도 걱정이고.,그런 사정을 솔직하게 자녀분들과 얘기를 해 보는 것이 어떨까요?,슬픔
화가 나면 나만 손해니까 진정해야지. 그리고 당당하게 혼자 사는 방법을 알아볼 거야.,모든 일이 잘 풀렸으면 좋겠어요.,분노
얼마 전까지 학급 친구들이 나를 따돌렸는데 선생님께 신고하고 자유로워졌어.,편안한 학교 생활이 되었다니 정말 다행이네요.,기쁨
학교에서 내가 싫어하는 친구가 있는데 걔는 진짜 뭘해도 싫어.,친구가 싫어진 까닭이 있을까요?,분노
며느리가 나를 방치하고 무시하는 것 같아서 괴롭네.,며느님이랑 같이 거주하시는군요?,분노
있을 때 잘해야겠어.,행복한 가정을 만들어가기로 결심하셨군요.,슬픔
다 내 잘못이야. 일 끝나고 빨리 오라고 했더니 남편이 교통사고를 당할 줄이야.,남편이 교통사고로 돌아가신 것이 사용자님 잘못인 것 같아서 아주 슬프시겠어요.,분노
친구가 너무 자기 멋대로 행동하는 부분이 있어서 받아주기 힘들더라고. 기분이 안 좋네.,친구가 자기 멋대로 행동하는 부분이 있어서 받아주기 힘들어 절교하게 되었군요. 기분이 좋지 않으시겠어요.,슬픔
나는 사표를 쓰고 싶은데 가족들이 부정적인 말을 해서 마음이 슬프고 속상해.,슬프고 속상한 마음이 있으시군요. 조금 더 자세히 말씀해 주세요.,슬픔
나한테 이런 일이 생기리라곤 상상도 못 했어.,뭔가 안 좋은 일이 생기셨나요?,슬픔
적은 인원들이 서로 정이 없는 것 같아.,동료들의 정을 느끼지 못해서 무척 속상하시겠어요.,슬픔
응. 기다리고 있으면 언젠가 말해 주겠지. 내 궁금함보다 친구 기분이 우선이니까.,친구를 위해 기다려주실 줄 아는 좋은 친구네요.,기쁨
마음이 너무 무겁고 아무에게도 말하지 못할 것 같아.,마음이 많이 안 좋으시군요. 어떻게 하면 기분을 전환하실 수 있을까요?,슬픔
그래서 나도 걔네 가방을 감췄어. 갈 때까지 갈거야.,눈에는 눈 이에는 이군요. 원할히 되셨으면 좋겠네요.,기쁨
많이 받을 때는 별말 없다가 적게 들어오면 꼭 의심하더라고. 그게 아닌데 억울해서 그랬어.,앞으로 어떻게 하는 것이 지금의 감정을 해소하는 데 도움이 될까요?,슬픔
남자친구랑 요즘 부딪히는 일이 너무 많아서 짜증 나.,남자친구와 자주 부딪혀서 짜증 나시겠어요. 남자친구와 어떤 부분에서 자주 부딪히나요?,분노
밤새 게임하는 오빠 때문에 시끄러워서 잠을 못자겠어.,오빠 게임소리에 잠을 못 자는군요. 피곤하겠어요.,분노
벌어놓은 돈은 없는데 직장에서 잘리고 오갈 데가 없네.,앞으로의 경제생활이 걱정되시나 봅니다.,분노
남편은 친구들이랑 술 약속이라면 사족을 못 쓰고 애들은 아이돌이라면 안달이야. 너무 외로워.,많이 외로우시군요. 어떻게 외로움을 해소 하실 수 있으실까요?,분노
힘들어도 천천히 계속 걸어다닐 거야. 걷는 연습을 열심히 해서 손주와 함께 이곳저곳 다닐 거야.,걷는 연습 열심히 하셔서 손주와 함께 좋은 시간 앞으로도 많이 보내시길 바라요.,기쁨
제발 그만 싸웠으면 좋겠어. 가족들이 변해야지.,가족들이 변하여서 위기를 극복하길 바라요.,슬픔
엄마 아빠는 매일 밤마다 싸워. 정말 집에 들어가기 싫다.,부모님들 싸움 때문에 신경이 많이 쓰이나 봅니다. 무슨 이유로 싸우는지 알고 계신가요?,슬픔
찾기 힘들겠지만 몸에 무리가 가지 않는 선에서 내가 할 수 있는 일들을 찾아보려고.,사용자님이 꼭 일자리를 찾으시고 몸 이상 없이 건강하게 지내셨으면 좋겠어요.,분노
나는 적어도 몇 군데 좋은 대학에 갈 수 있을 줄 알았는데 아닌가 봐.,대학에 대해 생각하신 것과 다른 이야기를 들어 슬프시겠어요.,슬픔
아들 장가보내려고 전부터 돈을 조금씩 모았는데 몸이 이곳저곳 아프다 보니 그 돈을 병원비로 썼지 뭐야.,병원비로 생각지 못한 지출이 있어 우울하시군요.,슬픔
되는 한 계속 일하고 싶어.,되는 한 계속 일을 하고 싶으시군요.,기쁨
술도 끊고 항암치료도 적극적으로 받을 거야. 난 꼭 나을 거야.,적극적인 치료로 건강이 나아지셨으면 좋겠어요.,분노
친구가 많이 힘들어 보였고 그 모습이 자꾸 머리에 남아서 슬퍼.,친구가 많이 힘들어 보였고 그 모습이 자꾸 머리에 남아서 슬프군요. 이런 마음을 어떻게 해야겠다고 생각했나요?,슬픔
남편이 사고로 이제 걷지 못하게 되었어. 이제 내가 남편을 부양해야 해.,남편을 부양하는 문제로 고민이 많으시군요.,슬픔
내가 잘못한게 있어서 자식들이 내게 연락을 안해. 너무 슬프고 고독해.,조금 더 상세히 말씀해주실 수 있으신가요?,슬픔
회사 앞에 나가서 잠깐 산책 좀 해야겠어.,산책을 통해 기분이 나아지길 바라요.,분노
건강을 좀 잘 챙길 걸 그랬어. 젊었을 때 담배도 많이 피우고 술도 너무 많이 마셨어.,속상하시겠어요. 이 상황을 변화시키기 위해 시도해 볼 수 있는 일들이 어떤 것들이 있을까요?,분노
진즉에 옮길걸 그랬어. 여기서도 예전 부서같이 되진 않겠지?,그런 고민을 안 하려면 어떤 생각을 해야 할까요?,기쁨
아내가 그만 가게를 접고 새로 시작하자고 해서 요즘 자주 다투었는데 오늘은 크게 싸웠어.,아내와 요즘 자주 다투었는데 오늘은 크게 싸우셨군요. 많이 속상하시겠어요.,슬픔
나이가 들어 있을 하고 싶어도 써주질 않아. 경제적인 여유가 없는 내가 너무 안쓰러워.,일자리가 없고 경제적인 어려움이 있어 안타까운 상황이시군요.,슬픔
합격을 기념하는 의미에서 오늘 밤 가족 외식을 나갈거야. 정말 행복하다!,합격을 기념하는 의미에서 오늘 밤 가족 외식을 나가려는군요.,기쁨
은퇴 전에 저축을 한다던가 집을 사야할 것 같아.,편안한 노후를 위해 저축이나 집을 사려고 하시는군요.,기쁨
매일 우울하다고 하니 점점 연락을 피했고 오랜만에 전화가 왔는데 그게 마지막 전화였던 거야.,마음이 많이 힘드시겠어요. 어떻게 하면 마음이 조금 나아질까요?,슬픔
너무 속상해서 며칠 동안 대화도 거부한 채 지냈었다네.,지금은 기분이 조금 나아지셨나요?,분노
너무 긴급하게 줘서 못할 뻔했는데 진짜 다행인 것 같아.,훌륭한 실력을 갖고 계셔서 그런 것 같아요. 정말 대단해요.,기쁨
매일 술 먹고 늦게 들어오는 남편에게 거부감이 느껴져. 이혼을 해야겠어.,남편이 매일 술 먹고 늦게 들어와서 힘드셨겠어요. 무엇이 이혼이란 힘든 결정까지 하게 만들었나요?,슬픔
학교선배인 상사의 도움을 받아 환영회를 부탁 드려야겠어.,명상을 통해 마음을 잘 다스리시길 바랄게요.,기쁨
부족하진 않았지만 일의 여유가 생기겠어.,일에 여유가 생겨 기쁘시군요.,기쁨
환갑이 다되니 친구들이 하나 둘씩 병으로 죽었어.,그렇군요. 친구분들이 돌아가셔서 많이 속상하시겠어요.,슬픔
아이들 학비 때문에 노후대비가 미진해서 걱정 많았는데. 생각지도 못했던 일이 벌어졌지 뭐야.,생각지도 못한 일이 생겼군요. 무슨 일이신가요?,기쁨
친구가 드디어 입국한대. 외국에서 있느라 삼 년 동안 못 봤어.,오랜만에 친구를 만나게 돼서 반갑겠군요.,기쁨
깜빡 잠들었다고 하는데. 그래도 사과도 하지 않고 얼렁뚱땅 넘어가는 태도가 너무 화가 나.,친구분께는 뭐라고 이야기하셨어요?,분노
아 짜증나.,짜증나는 일이 있으신가요? 더 자세히 말씀해 주시겠어요?,분노
나 너무 기뻐. 밥 안 먹어도 배가 불러.,정말 기쁘신 일이 있으신 것 같네요. 무슨 일이 있었는지 여쭈어볼 수 있을까요?,기쁨
응 잘못을 뉘우치는거 같더라고. 기특하게.,잘못을 뉘우치고 먼저 사과한 아드님을 기특하다 생각하시는 군요.,기쁨
험담과 쓴소리 앞에서 나설 수가 없어.,아픈 말을 들으셔서 마비되셨군요.,슬픔
노후 준비를 하지 않는 남편 때문에 걱정돼.,걱정되시는 마음 이해가 가요.,분노
고향 친구가 얼굴이 까맣기에 햇빛에 탄줄 알았더니 그게 아니었어.,고향 친구가 얼굴이 까맣군요. 어떤 이유였을까요?,슬픔
금일 형이 가출을 해서 부모님이 화가 났어.,형이 집을 나갔군요.,분노
취업스터디 열심히 하면서 포기하지 말고 지원하는 수밖에 없어.,포기하지 말고 지원하면서 상황을 극복하길 바라요.,분노
그런데 내게 원하는 게 사실 별로 없을 것 같아.,잘해주는 동료가 의심스럽군요.,슬픔
학교 수업 중에도 갑자기 눈물이 막 흘러서 선생님이랑 친구들 앞에서 창피했어.,이유도 모르고 눈물이 나서 부끄러우셨군요. 혹시 언제부터 그랬는지 기억이 나시나요?,슬픔
공부를 잘 할 수 있을 거라 생각해.,딸이 공부를 잘 할 수 있을거라는 생각을 신뢰하시는군요.,기쁨
애들이랑 얘기를 좀 해봐야겠어. 엄마 직장이 업무 시간이 길어서 미안하다고.,얘기를 진솔하게 나누셔서 자녀분들도 엄마를 잘 이해해주길 바라요.,분노
가게 이전을 위해 새로운 곳을 알아봐야지.,더 이상 건물주로 인한 피해가 없으면 좋겠어요.,분노
아내가 임신 후 우울증을 심하게 앓아 집에 오면 나까지 어두워져.,아내의 우울증으로 인해 많이 힘드셨겠어요.,슬픔
정말 감사한 일이지.,네 부모님 건강은 늘 큰 걱정거리인데 건강하시다니 정말 감사한 일이지요.,기쁨
사는 게 너무 허무해서 숨 쉬기 싫어. 환멸이 나.,사는 게 너무 허무해서 숨 쉬기 싫고 환멸이 나는군요. 조금 더 자세히 말씀해 주시겠어요?,슬픔
신경 쓰고 싶지 않은데 쉽지가 않네.,동기의 질투 때문에 너무 힘드시겠어요.,분노
오늘 화가 많이 난 일이 있었어.,화가 많이 나다니 무슨 일인가요?,분노
그냥 잊어버리고 책을 읽어야겠어.,책을 읽으며 기분이 나아지시기를 바라요.,분노
그니까. 미안했는데 그 직원이 그곳에서 좋은 실적을 냈다고 말하니까 한편으로는 고맙더라고.,미안하면서도 고마운 현재 상황을 어떻게 해소하면 좋을까요?,기쁨
아이들이 그래도 정도 많고 잘 도와주는 걸 보니 기분이 아주 좋아.,이런 감정에서는 어떤 것을 하고 싶으세요?,기쁨
맞아. 내가 준 선물을 아주 마음에 들어 했어.,이 기쁨을 오래 유지하실 수 있으면 좋겠어요.,기쁨
응. 이제 물욕도 사라지고 경험도 많이 해봐서 그런지 잘 모아지는 거 같아.,은퇴 준비가 잘 되어가는 것 같군요.,기쁨
내가 맡긴 일을 정확히 처리해.,좋은 후배를 두셨네요.,기쁨
이제라도 잘해줘야지. 여태 아내가 잘해줬으니.,아내에게 잘해주셔서 마음이 편해지길 바라요.,슬픔
오늘 다시 아내한테 가서 진지하게 대화를 해봐야겠어.,아내분과의 대화로 문제가 잘 해결되길 바랄게요.,분노
웬만하면 외출을 주로 삼가도록 노력하고 있어. 특히 위생에는 더욱 철저히 관리하기도 하고.,일상생활에 많은 제한을 받아 답답하시겠어요.,슬픔
오늘은 집에 가서 맛있는 걸 시켜서 먹으려고 해.,맛있는 걸 시켜서 먹으면 어떤 점이 좋은가요?,슬픔
먹고살기 바빠 얼굴도 자주 못 봤는데 이젠 조금 더 자주 얼굴 보며 안부도 묻고 살아야겠어.,친구 분과 함께 즐거운 시간 자주 보내셨으면 좋겠어요.,기쁨
어제 중요한 일이 있었는데 깜빡하고 그냥 지나가 버렸어.,중요한 일을 잊고 지나가 버리셨군요.,슬픔
자기 역할에 충실하면서 서로를 배려하고 이해하고자 하는 마음 때문이지.,가족 구성원들 간의 역할수행과 좋은 화합으로 항상 화목하기를 바라요.,기쁨
오늘도 회사에서 너무 힘들었어.,고생하셨어요. 오늘 회사에서 무슨 일이 있으셨어요?,분노
정말 걔는 왜 그러는지 모르겠어.,어떻게 하면 지금 상황을 개선시킬 수 있을까요?,슬픔
내일 드디어 부인이 아기를 출산할 예정이야.,아내 분의 출산일이 내일이군요. 기분이 어떠세요?,기쁨
맛있는 거나 먹으면서 예능 보려고. 기분 전환엔 그게 최고야.,맛있는 것을 먹으며 예능 프로그램을 보려고 하시는군요.,분노
응. 사실 나 너무 힘들어서 내가 전학갈까 고민도 했었어.,앞으로 학교생활을 어떻게 만들어 나가고 싶으신가요?,기쁨
남편과 행복했던 장소를 가보는 게 좋겠어.,행복했던 기억이 희망을 줬으면 좋겠어요.,슬픔
여자 친구가 슬픔에서 벗어나고 일상으로 돌아오도록 곁에서 지켜주고 응원해 줄 거야.,아내와 이야기해서 잘 해결되었으면 좋겠어요.,슬픔
늦었다고 생각하지 않고 앞으로의 미래를 위해 남들보다 더 노력해야겠어.,노력하셔서 꼭 원하시는 바를 이루시길 바라요.,분노
나 어제 아이를 낳았어. 그런데 우리 아이가 많이 아프다네.,아이를 낳으셨군요. 그런데 아이가 어디가 많이 아픈가요?,슬픔
그래도 나는 청렴하고 남부끄럽지 않게 평생을 살았어. 내 자신이 자랑스러워.,남부끄럽지 않게 평생을 살았기 때문에 스스로가 자랑스러우시군요.,슬픔
요새 코로나로 인하여 하루하루가 힘겹네.,코로나로 인해 어떤 피해가 있으신가요?,분노
그런 발언들은 무슨 생각에 말하는 건지 모르겠어.,상사를 이해하지 못하시는군요.,분노
일이 바쁘다는 핑계로 가족들에게 소홀하다 보니 이제 내가 외톨이가 된 거 같아서 슬퍼.,외톨이가 된 거 같은 기분을 느끼시는군요. 이 상황이 나아지려면 어떻게 하면 좋을까요?,슬픔
이번에 좋은 결과를 낼 것 같아.,이번 프로젝트에 대한 자신감이 있으시군요.,기쁨
내가 소득도 높지 않아서 친구들과 편하게 놀지 못해서일까? 다 내 탓인 것 같아.,어떻게 하면 지금 기분이 좀 나아질까요?,분노
내 가방끈이 짧다고 사람들이 무시하고 떠나가는 거야.,지금 상황에서 벗어나려면 어떻게 하셔야 가장 좋을까요?,분노
내 정신건강을 더 강하게 만드는 것이 중요하다고 생각해. 하나씩 천천히 내 스스로를 단련해 볼 계획이야.,정신을 더 강하게 무장해서 정신적 건강을 회복하셨으면 좋겠어요.,슬픔
모르겠어. 그냥 내 과거만 돌아보게 되네.,주변에 이 감정을 나눌 수 있는 사람이 있으면 좋겠네요.,분노
사과는 받았는데 왜 오진이 발생했는지는 모르겠어.,의사에게 진정한 사과를 받을 수 있을 거예요 힘내요.,분노
계 모임이 나랑은 안 맞던데 왜 자꾸 들라고 하는 건지.,어떻게 해야 친구분께 사용자님의 마음을 전달할 수 있을까요?,분노
친구와 관계가 끊어질 거 같은데 대화를 해볼까 고민 중이야.,실망한 친구와 대화하려고 고민 중이시군요. 어떤 이유로 대화를 하고 싶으세요?,슬픔
힘든 것도 있었지만 정직원 될 수 있을까 걱정 많이 했어.,이제 그 걱정이 사라져서 기분 아주 좋으시겠어요. 하는 일이 잘 되길 바라요.,기쁨
진로에 관해서 잘 아는데도 불구하고 성적 때문에 진학을 할 수 없다는 걸 깨달으니 허탈하네.,성적 문제로 고민이시군요.,슬픔
교내폭력 문제가 이제 그만 나왔으면 좋겠어.,학교 폭력이 감소하기 위해서는 무엇을 하는 게 좋을까요?,분노
직장 상사한테 고함 질러도 될까?,어떤 상황에서 그렇게 생각하게 만드나요?,분노
남은 세월 자식에게 짐이 되지 않고 살다가 갈 수 있도록 오늘도 열심히 일해야지.,자식을 위해 끝까지 열심히 일하는 모습이 자랑스러워요.,슬픔
나는 신체 질환을 가지고 이렇게 힘들어하는데 다른 사람들은 잘 지내는 것 같아 열등감을 느껴.,어떻게 하는 것이 도움이 될까요?,분노
맞아. 그땐 그랬지만 지금 생각해보면 왜 그랬나 싶어 지금은 너무 감사하지.,그 고마운 마음이 잘 전해지길 바라요.,기쁨
언제부턴가 아내는 자식 얘기만 꺼내면 무조건 자식 편만 드네.,자식 얘기만 꺼내면 무조건 자식 편을 드는군요. 많이 서운하시겠어요.,슬픔
코로나 때문에 회사 분위기가 아주 우울해.,모두 힘든 시기인 것 같네요. 어떻게 하는 것이 좋을까요?,기쁨
오늘은 감사한 날이야.,감사한 무슨 일이 있으셨나요?,기쁨
작년에는 자습시간에 애들이 너무 떠들었는데 이번에는 조용해서 좋아.,자습시간에 조용한 반이라서 공부가 더 잘 되겠어요.,기쁨
요즘 내 동기가 내가 어려울 때 먼저 도와줘. 정말 고마운데 내가 무얼 해줄 수 있을까?,나를 도와준 동기에게 고마운 마음이 드시는군요.,기쁨
그럴 거라 생각도 못 했던 친구라 너무 좌절감이 느껴져.,주위에 도움을 청할 방법이 있을까요?,분노
다른 생각하지 말고 자신감을 갖는 게 가장 좋은 방법인 것 같아.,자신감을 갖고 잘 해결했으면 좋겠어요.,슬픔
당황하고 있는데 친구가 내가 안심할 수 있게 웃어줘서 마음이 좀 편안해 지면서 안정이 됐어.,친구 덕분에 긴장을 풀고 발표를 잘 마무리할 수 있어 고마웠겠군요. 다음에는 어떻게 하면 좋을까요?,기쁨
평소에 행실이 나쁜 애들이었지만 그래도 학우를 때릴 줄은 몰랐어.,같은 반 친구에게 폭력을 쓸 줄은 몰랐겠어요. 또 친구를 때리지 않게 하려면 어떻게 해야 할까요?,분노
정리해고 끝났어.,어떻게 됐나요?,기쁨
다른 일도 아니고 계획도 없이 퇴사를 하면 앞으로는 어떻게 살아갈 건지 정말 답답해.,지금 상황을 어떻게 하면 잘 대처할 수 있을까요?,분노
내가 일부로 간을 안 맞추는 것도 아닌데 남편은 이해를 해주지 않아.,남편분이 이해를 해주면 좋겠어요.,분노
나는 아이를 세 명 이상 낳을 거야.,자녀 계획이 있으시군요. 계획에 대해 더 자세히 얘기해주실래요?,기쁨
서울생활이 너무 답답해서 이사 가고 싶어.,서울이 많이 답답했군요. 전원생활을 하고 싶나요?,슬픔
나와 같은 사람들에게 적용되는 복지 제도에 대해서 자세히 알아보아야겠어.,좋은 해결책을 찾으셨으면 좋겠어요.,슬픔
엄마 아빠가 내 학원 문제로 싸우고 계셔. 다 나 때문인 것 같아서 너무 슬퍼.,부모님께서 다투셔서 마음이 괴로우시군요.,분노
선생님께 말씀드리거나 친구들한테 이제 못 해준다고 말해야겠어.,이를 통해 학교생활이 어떻게 변화하기를 기대하시나요?,분노
매일매일 열심히 운동하는데 왜 이렇게 피곤하지?,피로를 많이 느끼시는군요. 어떻게 운동하세요?,슬픔
애들이 주먹다짐 하길래 말렸는데 일이 커졌어.,이 상황을 변화시키기 위해 할 수 있는 일은 무엇이 있을까요?,슬픔
매일 같이 다니던 친구가 뒤에서 내 흉을 봤어. 너무 화가 나.,매일 같이 다닐 정도로 친한 분인데 배신감에 화가 나시겠어요.,분노
어제 애들 매일 때리고 다니던 아이가 전학갔어. 너무 다행이야.,전학까지 가게 되다니 너무 폭력적인 학생이었나 보군요.,기쁨
혼자 산책하며 바람 좀 쐐야겠어.,산책으로 기분이 나아지셨으면 좋겠어요. 문제가 잘 해결되어 앞으로의 걱정도 사라지길 바라요.,슬픔
내가 만성질환 때문에 젊어서부터 이곳 저곳 돈이 많이 들어가서 딸을 대학에 보낼 여유가 안 되었어.,고생하는 따님 모습에 마음이 슬프신 거군요. 어떻게 해야 지금 기분이 나아질 수 있을까요?,슬픔
친구를 때린 걸 지금 생각하면 내 스스로가 부끄러워.,후회되는 행동을 하셨군요. 그 친구분을 아직도 접하시나요?,슬픔
나보다 먼저 사회생활을 시작한 선배들에게 사회생활에 대한 조언을 구할 거야.,사용자님보다 먼저 사회생활을 시작한 선배들에게 조언을 구할 생각이시군요.,기쁨
어제 친구 결혼식에 다녀왔는데 그냥 눈물이 났어. 친구가 행복하게 잘 살았으면 좋겠는데 나는 언제 결혼하지?,친한 친구였다면 눈물이 날 수 있을 것 같아요. 사용자님 같은 친구가 있는 친구 분은 정말 행운인 것 같아요.,기쁨
뭘 먹을 거면 그냥 나가서 먹으면 되잖아? 왜 자습실 안에서 저러지?,자습실에서 조용해지려면 어떻게 하면 문제가 해결될 수 있을까요?,분노
흔쾌히 쉬라고 허락해 주셨고 밤에 병문안을 오셨지. 죽까지 사 들고 와서는 푹 쉬고 출근하라고 하셨어. 정말 감사해서 눈물이 날 뻔했어.,사장님이 정말 좋으신 분인 것 같아요.,기쁨
내가 왜 이 일을 해야 하는지 차근차근 정리해보아야겠어.,꼼꼼히 정리하시면서 목표 의식을 갖게 되시면 좋겠어요.,분노
더 건강 관리를 해야 했는데 나는 안 아프겠지 안일하게 생각했어. 정말 바보 같아.,더 건강 관리를 하지 않은 것에 자책하게 되시는군요. 현재에서 나아질 방법이 있을까요?,분노
나 아주 슬퍼서 몸도 못 가누겠어.,아주 슬퍼하고 계시네요.,슬픔
다른 친구랑 같이 얘기 좀 해보고 결정해야겠어.,친구가 마음에 드는 선물을 찾으셨으면 좋겠어요.,기쁨
지원한 회사에서 면접 보러 오라는 연락이 왔어.,면접 일정이 잡히셨군요. 준비는 많이 되셨나요?,슬픔
나를 거슬려 하는 친구 한 명이 있는데 자기 친구들과 같이 나를 따돌리더라. 처음엔 당혹스러웠는데 지금은 괜찮아.,거슬린다는 이유로 또래 친구들에게 따돌림을 당하셨군요. 지금은 어떤 상황이시기에 긍정적이신가요?,기쁨
집안의 반대로 남자 친구와 파혼하게 돼서 너무 좌절하게 돼.,남자 친구와 파혼하게 돼서 좌절한 상황이시군요.,분노
